Country.of.Origin,Number.of.Bags,Variety,Processing.Method,Aroma,Flavor,Acidity,Balance,Sweetness,Moisture,altitude_mean_meters
Guatemala,250,Other,Washed / Wet,7.33,7.17,7.58,7.17,10,0.12,1219.2
Taiwan,50,Typica,Washed / Wet,6.83,6.75,7.25,6.92,10,0.1,800
Mexico,250,Typica,Washed / Wet,7,7,7.33,6.92,10,0.13,1400
Mexico,50,Typica,Washed / Wet,7.92,7.58,7.92,7.5,10,0.1,1300
Mexico,280,Bourbon,Washed / Wet,7.25,6.75,6.92,7.58,10,0,1600
Mexico,10,Typica,Washed / Wet,7.08,6.83,7,6.92,10,0.12,1400
Mexico,20,Caturra,Washed / Wet,7.25,7.17,6.83,7.08,10,0.13,1200
Mexico,10,Typica,Washed / Wet,7.58,7.17,7.17,7,10,0.14,1500
Guatemala,275,Other,Washed / Wet,7.17,6.5,7,7.17,10,0.1,1219.2
Guatemala,250,Bourbon,Washed / Wet,7.17,7.17,7.17,6.83,10,0.11,1310.64
Mexico,100,Typica,Natural / Dry,7.25,7.25,7.5,7.42,10,0.13,1300
Indonesia,2,Java,Washed / Wet,6.92,6.83,6.92,6.83,10,0.13,1300
Mexico,320,Typica,Washed / Wet,7.08,6.83,7.25,6.92,10,0.11,1050
Taiwan,8,Yellow Bourbon,Washed / Wet,7.5,7.08,7.17,7.5,10,0,650
Honduras,275,Pacas,Natural / Dry,6.83,7,7,6.83,10,0.11,1350
Guatemala,275,Other,Washed / Wet,7.42,7.25,7.33,6.92,9.33,0.1,1219.2
China,16,Typica,Washed / Wet,7.33,7.17,7.08,7,9.33,0.1,1200
Guatemala,250,Bourbon,Washed / Wet,7,6.83,7.17,6.83,10,0.11,1310.64
Mexico,10,Other,Washed / Wet,7.25,7.33,7,7.08,8,0.12,850
Costa Rica,250,Caturra,Washed / Wet,7.5,7.25,7,6.83,10,0.12,1200
Mexico,50,Typica,Washed / Wet,7.42,7.25,7,7.08,10,0.11,1248
Guatemala,250,Bourbon,Washed / Wet,7,6.83,7.17,6.83,10,0.11,1310.64
Taiwan,100,Typica,Washed / Wet,7.17,6.75,7.33,7.17,10,0.11,775
Mexico,23,Typica,Washed / Wet,7.17,6.75,6.75,6.75,10,0.13,1300
Guatemala,250,Bourbon,Washed / Wet,7.08,6.92,7,7,10,0.11,1310.64
Brazil,320,Bourbon,Natural / Dry,7.5,7.33,7.58,6.92,10,0,890
Guatemala,275,Other,Washed / Wet,7.33,7,7.17,7.17,9.33,0.1,1219.2
Mexico,10,Typica,Washed / Wet,7.33,7,7,6.92,10,0.15,1500
Haiti,1,Typica,Washed / Wet,6.83,6.83,6.75,6.92,10,0.1,825
Mexico,10,Other,Washed / Wet,7.08,7,7.25,7.25,10,0.12,1200
Peru,275,Caturra,Washed / Wet,7.42,7.75,7.67,7.83,9.33,0,1200
Mexico,10,Typica,Washed / Wet,7.17,6.58,7,6.58,10,0.13,1100
Guatemala,250,Bourbon,Washed / Wet,7.5,7,7.5,7.33,8.67,0.11,1310.64
Mexico,11,Typica,Washed / Wet,7.42,7,7.08,6.83,10,0.16,1400
Indonesia,15,Other,Natural / Dry,7.33,7,6.08,6.33,9.33,0.12,3500
Mexico,20,Bourbon,Washed / Wet,7.08,6.83,7.17,7.08,10,0.12,1250
Honduras,275,Pacas,Natural / Dry,6.83,6.83,6.83,6.83,10,0.11,1350
Guatemala,250,Bourbon,Washed / Wet,7.92,7.58,7.58,7.17,8,0.11,1310.64
Mexico,10,Pacamara,Washed / Wet,7.5,7.25,7,6.83,10,0.11,1100
Mexico,100,Mundo Novo,Washed / Wet,7.17,6.92,6.83,7.75,10,0.11,1200
Mexico,36,Other,Washed / Wet,7.25,6.83,7.08,6.83,10,0.12,1100
Mexico,18,Typica,Washed / Wet,7.17,7.17,7.17,6.67,10,0.13,1280
Mexico,43,Typica,Washed / Wet,7,6.92,6.92,6.83,10,0.14,850
Mexico,14,Typica,Washed / Wet,7.08,6.75,7,6.75,10,0.17,1500
Mexico,20,Typica,Washed / Wet,7.33,6.75,7.25,7,10,0.12,1250
Mexico,275,Typica,Washed / Wet,7.08,7,7.5,6.83,10,0.12,1700
Guatemala,250,Bourbon,Washed / Wet,6.5,6.33,7.5,6.83,8.67,0.11,1310.64
Mexico,20,Typica,Washed / Wet,7,6.58,6.83,6.83,10,0.14,1140
Mexico,100,Typica,Washed / Wet,6.92,6.42,7.33,6.75,10,0.13,1200
Mexico,20,Typica,Washed / Wet,7.67,7,7.58,7.33,10,0.12,1250
Honduras,275,Pacas,Washed / Wet,7,7.17,7.17,7.17,8,0.11,1350
Mexico,280,Typica,Washed / Wet,7.08,7.08,7.08,6.92,8,0,1200
Costa Rica,250,Caturra,Washed / Wet,6.33,6.5,6.83,6.5,10,0.11,1200
Mexico,10,Mundo Novo,Washed / Wet,6.92,6.92,6.92,7,10,0.12,800
Mexico,25,Bourbon,Washed / Wet,6.5,6.67,7.17,6.5,10,0.11,1800
Mexico,280,Typica,Washed / Wet,6.92,7,6.92,6.92,10,0.12,1000
Honduras,275,Catuai,Washed / Wet,6.67,6.5,6.67,6.17,8,0.1,1450
Honduras,275,Catuai,Washed / Wet,7,6.17,6.67,6.17,8,0.1,1450
Honduras,275,Catuai,Washed / Wet,7,6.33,6.5,6.17,8,0.1,1450
Mexico,12,Bourbon,Washed / Wet,7.08,6.83,7.42,6.75,10,0.11,900
Haiti,1,Typica,Natural / Dry,6.75,6.58,6.67,6.67,6,0.14,350
Nicaragua,550,Caturra,Other,7.25,6.58,6.25,6.08,6,0.13,1100
Guatemala,275,Catuai,Washed / Wet,7.5,6.67,7.67,6.67,1.33,0.1,1417.32
